day,date,susceptible,infected,recovered
-46,2020-02-22,39512183.0,40.0,0.0
-45,2020-02-23,39512172.57457254,47.56828460010884,2.8571428571428568
-44,2020-02-24,39512160.176583305,56.56853922367018,6.254877471436345
-43,2020-02-25,39512145.43281177,67.27170081365148,10.295487415984216
-42,2020-02-26,39512127.89942253,79.99996857560804,15.10060890267361
-41,2020-02-27,39512107.048604876,95.13650275315905,20.8148923723599
-40,2020-02-28,39512082.25268484,113.13695830704773,27.6103568547284
-39,2020-02-29,39512052.76523123,134.54320060184008,35.69156816237466
-38,2020-03-01,39512017.69858737,159.99961584858795,45.30179677679181
-37,2020-03-02,39511975.997152135,190.27250710384206,56.73034076597668
-36,2020-03-03,39511926.40560644,226.27315942768183,70.32123413053681
-35,2020-03-04,39511867.4311292,269.0852681394031,86.48360266108551
-34,2020-03-05,39511797.29846576,319.99755528624553,105.70397895675717
-33,2020-03-06,39511713.89649742,380.5425553865265,128.560947191489
-32,2020-03-07,39511614.71470482,452.54273688943636,155.7425582905266
-31,2020-03-08,39511496.76761436,538.1653461493452,188.06703949691493
-30,2020-03-09,39511356.504956014,639.9876226185334,226.50742136472525
-29,2020-03-10,39511189.704831794,761.0743452214614,272.2208229803348
-28,2020-03-11,39510991.346684046,905.0700397405972,326.5832762104392
-27,2020-03-12,39510755.460247315,1076.3086164895344,391.2311361919104
-26,2020-03-13,39510474.94594734,1279.943729571715,468.11032308402
-25,2020-03-14,39510141.36135579,1522.1037690109586,559.5348751962854
-24,2020-03-15,39509744.66729382,1810.0761331956753,668.2565729827825
-23,2020-03-16,39509272.92597173,2152.5263029107764,797.5477253539021
-22,2020-03-17,39508711.942120746,2559.7582751233367,951.2996041332435
-21,2020-03-18,39508044.83637452,3044.024144550872,1134.1394809277676
-20,2020-03-19,39507251.53814398,3619.8920790558877,1351.5697769671156
-19,2020-03-20,39506308.182840735,4304.683662365382,1610.133496899679
-18,2020-03-21,39505186.39547581,5118.993622833468,1917.610901354349
-17,2020-03-22,39503852.43931069,6087.307386320896,2283.253302985311
-16,2020-03-23,39502266.204276316,7238.734750247703,2718.0609734368036
-15,2020-03-24,39500380.00519422,8607.881350184118,3235.113455597354
-14,2020-03-25,39498137.15430961,10235.883566923767,3849.962123467648
-13,2020-03-26,39495470.266136155,12171.637199886749,4581.096663962204
-12,2020-03-27,39492299.244955294,14473.255723609751,5450.4993210969715
-11,2020-03-28,39488528.896326445,17209.80037220091,6484.303301354811
-10,2020-03-29,39484046.09344593,20463.331797564948,7713.574756512019
-9,2020-03-30,39478716.41692134,24331.34176517743,9175.241313480941
-8,2020-03-31,39472380.172269434,28929.633433856405,10913.194296707901
-7,2020-04-01,39464847.672959685,34395.7303554709,12979.5966848405
-6,2020-04-02,39455893.65788357,40892.90754905019,15436.434567374135
-5,2020-04-03,39445250.69053352,48614.95293131824,18357.35653516344
-4,2020-04-04,39432601.36280042,57791.784026463676,21829.85317311474
-3,2020-04-05,39417569.099142835,68696.06311073249,25957.837746433575
-2,2020-04-06,39399707.327149265,81650.97345353966,30864.699397200187
-1,2020-04-07,39378486.74873605,97039.33947720894,36696.91178673873
0,2020-04-08,39353280.41341444,115314.29340758776,43628.293177967935
1,2020-04-09,39338313.33818876,122044.63338987822,51865.028421367075
2,2020-04-10,39322478.73146347,129161.76630160333,60582.5022349298
3,2020-04-11,39305727.462157086,136687.19515787342,69808.34268504432
4,2020-04-12,39288007.75544219,144643.53079005991,79571.71376774955
5,2020-04-13,39269265.06723839,153054.53822314242,89903.39453846813
